,x_a,x_b,y_a,y_b,Gmix,Hull_Gmix
0,0.0001,0.9999,0.0001,0.9999,-0.046524473160594056,-0.046524473160594056
1,0.0001,0.9999,0.041758333333333335,0.9582416666666667,-2.5644623182786197,-2.5644623182786197
2,0.0001,0.9999,0.08341666666666667,0.9165833333333333,-3.9170142290452796,-3.9170142290452796
3,0.0001,0.9999,0.125075,0.874925,-4.8639129102159355,-4.8639129102159355
4,0.0001,0.9999,0.16673333333333332,0.8332666666666666,-5.567487739736222,-5.567487739736222
5,0.0001,0.9999,0.20839166666666664,0.7916083333333332,-6.103677805202096,-6.103677805202096
6,0.0001,0.9999,0.25005,0.74995,-6.516122173939534,-6.516122173939534
7,0.0001,0.9999,0.2917083333333333,0.7082916666666667,-6.8325974902845275,-6.8325974902845275
8,0.0001,0.9999,0.33336666666666664,0.6666333333333333,-7.0717793124510315,-7.0717793124510315
9,0.0001,0.9999,0.375025,0.624975,-7.246524304693061,-7.246524304693061
10,0.0001,0.9999,0.4166833333333333,0.5833166666666666,-7.365631727687379,-7.365631727687379
11,0.0001,0.9999,0.45834166666666665,0.5416583333333334,-7.434841848854054,-7.434841848854054
12,0.0001,0.9999,0.5,0.5,-7.457404091328003,-7.457404091328003
13,0.0001,0.9999,0.5416583333333334,0.45834166666666665,-7.434371199514699,-7.434371199514699
14,0.0001,0.9999,0.5833166666666666,0.4166833333333333,-7.364690429008672,-7.364690429008672
15,0.0001,0.9999,0.624975,0.375025,-7.245112356675005,-7.245112356675005
16,0.0001,0.9999,0.6666333333333333,0.33336666666666664,-7.069896715093609,-7.069896715093609
17,0.0001,0.9999,0.7082916666666667,0.2917083333333333,-6.830244243587757,-6.830244243587757
18,0.0001,0.9999,0.74995,0.25005,-6.513298277903408,-6.513298277903408
19,0.0001,0.9999,0.7916083333333332,0.20839166666666664,-6.100383259826621,-6.100383259826621
20,0.0001,0.9999,0.8332666666666666,0.16673333333333332,-5.563722545021388,-5.563722545021388
21,0.0001,0.9999,0.874925,0.125075,-4.8596770661617565,-4.8596770661617565
22,0.0001,0.9999,0.9165833333333333,0.08341666666666667,-3.9123077356517415,-3.912307735651742
23,0.0001,0.9999,0.9582416666666667,0.041758333333333335,-2.559285175545733,-2.5592851755457335
24,0.0001,0.9999,0.9999,0.0001,-0.040876681088348306,-0.04087668108834912
25,0.041758333333333335,0.9582416666666667,0.0001,0.9999,-1.1534619389209033,-1.153461938920906
26,0.041758333333333335,0.9582416666666667,0.041758333333333335,0.9582416666666667,-3.655669759373925,-3.6556697593739376
27,0.041758333333333335,0.9582416666666667,0.08341666666666667,0.9165833333333333,-4.99249164547556,-4.992491645475572
28,0.041758333333333335,0.9582416666666667,0.125075,0.874925,-5.923660301981219,-5.923660301981221
29,0.041758333333333335,0.9582416666666667,0.16673333333333332,0.8332666666666666,-6.611505106836487,-6.611505106836499
30,0.041758333333333335,0.9582416666666667,0.20839166666666664,0.7916083333333332,-7.1319651476373505,-7.131965147637355
31,0.041758333333333335,0.9582416666666667,0.25005,0.74995,-7.528679491709784,-7.5286794917097914
32,0.041758333333333335,0.9582416666666667,0.2917083333333333,0.7082916666666667,-7.8294247833897685,-7.829424783389783
33,0.041758333333333335,0.9582416666666667,0.33336666666666664,0.6666333333333333,-8.052876580891258,-8.052876580891278
34,0.041758333333333335,0.9582416666666667,0.375025,0.624975,-8.21189154846828,-8.211891548468309
35,0.041758333333333335,0.9582416666666667,0.4166833333333333,0.5833166666666666,-8.315268946797598,-8.315268946797627
36,0.041758333333333335,0.9582416666666667,0.45834166666666665,0.5416583333333334,-8.368749043299253,-8.36874904329926
37,0.041758333333333335,0.9582416666666667,0.5,0.5,-8.375581261108195,-8.3755812611082
38,0.041758333333333335,0.9582416666666667,0.5416583333333334,0.45834166666666665,-8.33681834462988,-8.336818344629894
39,0.041758333333333335,0.9582416666666667,0.5833166666666666,0.4166833333333333,-8.25140754945885,-8.251407549458865
40,0.041758333333333335,0.9582416666666667,0.624975,0.375025,-8.116099452460166,-8.116099452460174
41,0.041758333333333335,0.9582416666666667,0.6666333333333333,0.33336666666666664,-7.9251537862137695,-7.925153786213777
42,0.041758333333333335,0.9582416666666667,0.7082916666666667,0.2917083333333333,-7.6697712900429025,-7.669771290042912
43,0.041758333333333335,0.9582416666666667,0.74995,0.25005,-7.337095299693541,-7.337095299693551
44,0.041758333333333335,0.9582416666666667,0.7916083333333332,0.20839166666666664,-6.908450256951744,-6.90845025695175
45,0.041758333333333335,0.9582416666666667,0.8332666666666666,0.16673333333333332,-6.3560595174814996,-6.356059517481503
46,0.041758333333333335,0.9582416666666667,0.874925,0.125075,-5.63628401395686,-5.636284013956865
47,0.041758333333333335,0.9582416666666667,0.9165833333333333,0.08341666666666667,-4.673184658781835,-4.673184658781842
48,0.041758333333333335,0.9582416666666667,0.9582416666666667,0.041758333333333335,-3.3044320740108155,-3.304432074010827
49,0.041758333333333335,0.9582416666666667,0.9999,0.0001,-0.7702935548884269,-0.7702935548884381
50,0.08341666666666667,0.9165833333333333,0.0001,0.9999,-1.1297218050520508,-1.1345209608737095
51,0.08341666666666667,0.9165833333333333,0.041758333333333335,0.9582416666666667,-3.616199600840055,-3.6381656496395203
52,0.08341666666666667,0.9165833333333333,0.08341666666666667,0.9165833333333333,-4.937291462276701,-4.976424404053945
53,0.08341666666666667,0.9165833333333333,0.125075,0.874925,-5.852730094117341,-5.909029928872393
54,0.08341666666666667,0.9165833333333333,0.16673333333333332,0.8332666666666666,-6.524844874307606,-6.598311602040451
