index,Pb,Sn,Te,Formula Unit,Starting_Spacegroup,Relaxed_Spacegroup,Enthalpy Relative to Elements (meV/atom),E_hull (meV/atom),E_above_hull (meV/atom)
aflow:07652f9abbbd068d,0,0.555555556,0.444444444,Sn5Te4,I4/mmm#139,I4/mmm#139,-95.8371,-282.5211111,186.6840111
aflow:d5d9f8d7e88de993,0.172413793,0,0.827586207,Pb5Te24,I-43m#217,I-43m#217,53.1812,-141.0812069,194.2624069
aflow:64f6e2097477b1dc,0.8,0.2,0,Pb4Sn1,I4/mmm#139,I4/mmm#139,195.754,-8.5668,204.3208
aflow:adb89fc0ef348f59,0.586206897,0,0.413793103,Pb17Te12,I-43m#217,I-43m#217,-125.424,-338.5154483,213.0914483
aflow:bb1069c7f16b91dc,0.333333333,0.333333333,0.333333333,Pb1Sn1Te1,P3m1#156,P3m1#156,-62.4707,-286.7766667,224.3059667
aflow:dfcb614c9945e5df,0.375,0,0.625,Pb3Te5,Cmmm#65,Cmmm#65,-80.9564,-306.77525,225.81885
aflow:a0899efad61d778a,0.6,0,0.4,Pb3Te2,P-3m1#164,P-3m1#164,-99.867,-327.236,227.369
aflow:adce7920a0dee937,0.2,0,0.8,Pb1Te4,I4/m#87,I4/m#87,71.7682,-163.6438,235.412
aflow:9833dfa7f151f7f3,0.2,0.4,0.4,Pb1Sn2Te2,I4/mmm#139,I4/mmm#139,-47.7572,-297.0852,249.328
aflow:ab3be573d9bbbf23,0,0.625,0.375,Sn10Te6,P6_{3}/mcm#193,P6_{3}/mcm#193,15.3346,-244.9875,260.3221
aflow:ff4051db3d569fc7,0.166666667,0.666666667,0.166666667,Pb1Sn4Te1,F-43m#216,F-43m#216,101.902,-164.5413333,266.4433333
aflow:d92c6e1df9a36144,0,0.538461538,0.461538462,Sn7Te6,R-3m#166,R-3m#166,-9.8549,-291.7601538,281.9052538
aflow:66773cb49ee44d02,0,0.2,0.8,Sn4Te16,I23#197,I23#197,180.37,-125.0582,305.4282
aflow:0bbbccd65559e649,0.666666667,0.166666667,0.166666667,Pb4Sn1Te1,F-43m#216,F-43m#216,179.284,-143.4543333,322.7383333
aflow:4c398cadbcdf2f1f,0.538461538,0,0.461538462,Pb7Te6,R-3m#166,R-3m#166,-42.7295,-377.5596923,334.8301923
aflow:11905c39f7cdbb8f,0,0.111111111,0.888888889,Sn1Te8,I4/mmm#139,I4/mmm#139,273.549,-69.50566667,343.0546667
aflow:ab164cd41d4c1a16,0.4,0.2,0.4,Pb2Sn1Te2,I4/mmm#139,I4/mmm#139,22.9895,-335.6708,358.6603
aflow:5d97f933276d340d,0,0.444444444,0.555555556,Sn4Te5,I4/mmm#139,I4/mmm#139,112.032,-277.8276667,389.8596667
aflow:0c5c7f43f4ae18ff,0,0.428571429,0.571428571,Sn3Te4,P6/mmm#191,P6/mmm#191,150.891,-267.9075714,418.7985714
aflow:99b645797cf5d3bf,0.428571429,0,0.571428571,Pb3Te4,P6/mmm#191,P6/mmm#191,79.1441,-350.591,429.7351
aflow:9256a2baa5bed536,0.571428571,0,0.428571429,Pb4Te3,P6/mmm#191,P6/mmm#191,135.459,-350.6005714,486.0595714
aflow:fe495162912690d4,0,0.571428571,0.428571429,Sn4Te3,P6/mmm#191,P6/mmm#191,222.33,-273.942,496.272
aflow:682fd5f315b282fe,0.166666667,0.166666667,0.666666667,Pb1Sn1Te4,F-43m#216,F-43m#216,328.487,-240.5416667,569.0286667
